Year,Country,POVERTY50,forceddisplacment,violentconflict,GIIgender,safetynet,aidtrade,coremulti,odaclimate,Infectiousbimulti,peacesec,tied and contracts,unvote,arms1,cpa,elections,Poverty50,forceddisplacment,violentconflict,GII,safetynet,aidtrade,coremulti,odaclimate,Infectiousbimulti,peacesec,tied and contracts,unvote,Arms trade (1),cpa,elections,Need,Global System,Public Spirited,sum of ranks,Rank,Rank change,Rank change (string),Story 1,Story 2
2018,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.765909037,4.625665581,4.695357767,12.08693239,26,0,0,n/a,n/a
2018,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.242209249,4.62075989,4.183263618,14.04623276,23,-1,-,n/a,n/a
2018,Slovak Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.495208845,3.727167448,1.763577928,7.985954221,28,0,0,n/a,n/a
2018,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.653243993,5.022418088,3.34531158,10.02097366,27,0,0,n/a,n/a
2018,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.475512641,5.452657259,6.354118943,17.28228884,19,0,0,n/a,n/a
2018,Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.534353536,8.782652171,8.286848295,24.603854,2,1,+,n/a,n/a
2018,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.320051788,7.70209577,7.878465233,20.90061279,9,0,0,n/a,n/a
2018,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.748562344,9.273228902,8.3723325,24.39412375,3,-1,-,n/a,n/a
2018,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.706981297,8.862129259,7.735916737,23.30502729,4,0,0,n/a,n/a
2019,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.413015746,7.607833059,7.916337961,19.93718677,15,0,0,n/a,n/a
